"id","省份","用水量","日期"
"1","北京市","40.8","2021"
"2","北京市","40.6","2020"
"3","北京市","41.7","2019"
"4","北京市","39.3","2018"
"5","北京市","39.5","2017"
"6","北京市","38.8083398773359","2016"
"7","北京市","38.2","2015"
"8","北京市","37.491","2014"
"9","北京市","36.38","2013"
"10","北京市","35.88","2012"
"11","天津市","32.3","2021"
"12","天津市","27.8","2020"
"13","天津市","28.4","2019"
"14","天津市","28.4","2018"
"15","天津市","27.5","2017"
"16","天津市","27.2307","2016"
"17","天津市","25.7","2015"
"18","天津市","24.0869","2014"
"19","天津市","23.756","2013"
"20","天津市","23.13","2012"
"21","河北省","181.9","2021"
"22","河北省","182.8","2020"
"23","河北省","182.3","2019"
"24","河北省","182.4","2018"
"25","河北省","181.6","2017"
"26","河北省","182.5743","2016"
"27","河北省","187.2","2015"
"28","河北省","192.8188","2014"
"29","河北省","191.28714596","2013"
"30","河北省","195.31","2012"
"31","山西省","72.6","2021"
"32","山西省","72.8","2020"
"33","山西省","76","2019"
"34","山西省","74.3","2018"
"35","山西省","74.9","2017"
"36","山西省","75.52569732","2016"
"37","山西省","73.6","2015"
"38","山西省","71.374868458","2014"
"39","山西省","73.7681852384114","2013"
"40","山西省","73.38823477","2012"
"41","内蒙古自治区","191.7","2021"
"42","内蒙古自治区","194.4","2020"
"43","内蒙古自治区","190.9","2019"
"44","内蒙古自治区","192.1","2018"
"45","内蒙古自治区","188","2017"
"46","内蒙古自治区","190.2913688","2016"
"47","内蒙古自治区","185.8","2015"
"48","内蒙古自治区","182.010949068","2014"
"49","内蒙古自治区","183.223505748333","2013"
"50","内蒙古自治区","184.35279852","2012"
"51","辽宁省","129","2021"
"52","辽宁省","129.3","2020"
"53","辽宁省","130.3","2019"
"54","辽宁省","130.3","2018"
"55","辽宁省","131.1","2017"
"56","辽宁省","135.39","2016"
"57","辽宁省","140.8","2015"
"58","辽宁省","141.77","2014"
"59","辽宁省","142.1304","2013"
"60","辽宁省","142.23","2012"
"61","吉林省","110.2","2021"
"62","吉林省","117.7","2020"
"63","吉林省","115.4","2019"
"64","吉林省","119.5","2018"
"65","吉林省","126.7","2017"
"66","吉林省","132.54","2016"
"67","吉林省","133.6","2015"
"68","吉林省","132.98","2014"
"69","吉林省","131.48","2013"
"70","吉林省","129.82","2012"
"71","黑龙江省","324.5","2021"
"72","黑龙江省","314.1","2020"
"73","黑龙江省","310.4","2019"
"74","黑龙江省","343.9","2018"
"75","黑龙江省","353.1","2017"
"76","黑龙江省","352.63579","2016"
"77","黑龙江省","355.3","2015"
"78","黑龙江省","364.128624","2014"
"79","黑龙江省","362.2957","2013"
"80","黑龙江省","358.9014","2012"
"81","上海市","105.8","2021"
"82","上海市","97.5","2020"
"83","上海市","100.9","2019"
"84","上海市","103.4","2018"
"85","上海市","104.8","2017"
"86","上海市","104.836761309321","2016"
"87","上海市","103.8","2015"
"88","上海市","105.9169327701","2014"
"89","上海市","123.2093454167","2013"
"90","上海市","115.9802154","2012"
"91","江苏省","567.5","2021"
"92","江苏省","572","2020"
"93","江苏省","619.1","2019"
"94","江苏省","592","2018"
"95","江苏省","591.3","2017"
"96","江苏省","577.401691156597","2016"
"97","江苏省","574.5","2015"
"98","江苏省","591.294914256477","2014"
"99","江苏省","576.688960626098","2013"
"100","江苏省","552.232960945447","2012"
"101","浙江省","166.4","2021"
"102","浙江省","163.9","2020"
"103","浙江省","165.8","2019"
"104","浙江省","173.8","2018"
"105","浙江省","179.5","2017"
"106","浙江省","181.147","2016"
"107","浙江省","186.1","2015"
"108","浙江省","192.8679","2014"
"109","浙江省","198.33381988375","2013"
"110","浙江省","198.1228","2012"
"111","安徽省","271.7","2021"
"112","安徽省","268.3","2020"
"113","安徽省","277.7","2019"
"114","安徽省","285.8","2018"
"115","安徽省","290.3","2017"
"116","安徽省","290.65","2016"
"117","安徽省","288.7","2015"
"118","安徽省","272.09","2014"
"119","安徽省","296.02","2013"
"120","安徽省","292.637","2012"
"121","福建省","182.6","2021"
"122","福建省","183","2020"
"123","福建省","177.5","2019"
"124","福建省","186.9","2018"
"125","福建省","192","2017"
"126","福建省","189.061974571301","2016"
"127","福建省","201.3","2015"
"128","福建省","205.629234656447","2014"
"129","福建省","204.828440556887","2013"
"130","福建省","200.07570532511","2012"
"131","江西省","249.4","2021"
"132","江西省","244.1","2020"
"133","江西省","253.3","2019"
"134","江西省","250.8","2018"
"135","江西省","248","2017"
"136","江西省","245.36","2016"
"137","江西省","245.8","2015"
"138","江西省","259.3","2014"
"139","江西省","264.81","2013"
"140","江西省","242.54","2012"
"141","山东省","210.1","2021"
"142","山东省","222.5","2020"
"143","山东省","225.3","2019"
"144","山东省","212.7","2018"
"145","山东省","209.5","2017"
"146","山东省","213.991763034198","2016"
"147","山东省","212.8","2015"
"148","山东省","214.520016601859","2014"
"149","山东省","217.938","2013"
"150","山东省","221.79112","2012"
"151","河南省","222.9","2021"
"152","河南省","237.1","2020"
"153","河南省","237.8","2019"
"154","河南省","234.6","2018"
"155","河南省","233.8","2017"
"156","河南省","227.643036092423","2016"
"157","河南省","222.8","2015"
"158","河南省","209.291","2014"
"159","河南省","240.568102500763","2013"
"160","河南省","238.605269466059","2012"
"161","湖北省","336.1","2021"
"162","湖北省","278.9","2020"
"163","湖北省","303.2","2019"
"164","湖北省","296.9","2018"
"165","湖北省","290.3","2017"
"166","湖北省","281.966","2016"
"167","湖北省","301.3","2015"
"168","湖北省","288.3401","2014"
"169","湖北省","291.8","2013"
"170","湖北省","299.2926","2012"
"171","湖南省","322.4","2021"
"172","湖南省","305.1","2020"
"173","湖南省","333","2019"
"174","湖南省","337","2018"
"175","湖南省","326.9","2017"
"176","湖南省","330.363332964834","2016"
"177","湖南省","330.4","2015"
"178","湖南省","332.4125","2014"
"179","湖南省","332.4887","2013"
"180","湖南省","328.8","2012"
"181","广东省","407","2021"
"182","广东省","405.1","2020"
"183","广东省","412.3","2019"
"184","广东省","420.9","2018"
"185","广东省","433.5","2017"
"186","广东省","434.9647","2016"
"187","广东省","443.1","2015"
"188","广东省","442.538052369124","2014"
"189","广东省","443.162037924953","2013"
"190","广东省","451.018464442333","2012"
"191","广西壮族自治区","268.5","2021"
"192","广西壮族自治区","261.1","2020"
"193","广西壮族自治区","283.4","2019"
"194","广西壮族自治区","287.8","2018"
"195","广西壮族自治区","284.9","2017"
"196","广西壮族自治区","290.565128665461","2016"
"197","广西壮族自治区","299.3","2015"
"198","广西壮族自治区","307.601288846203","2014"
"199","广西壮族自治区","308.164910698714","2013"
"200","广西壮族自治区","303.014835939461","2012"
"201","海南省","45","2021"
"202","海南省","44","2020"
"203","海南省","46.4","2019"
"204","海南省","45.1","2018"
"205","海南省","45.6","2017"
"206","海南省","44.9615","2016"
"207","海南省","45.8","2015"
"208","海南省","45.022","2014"
"209","海南省","43.16","2013"
"210","海南省","45.33","2012"
"211","重庆市","72.1","2021"
"212","重庆市","70.1","2020"
"213","重庆市","76.5","2019"
"214","重庆市","77.2","2018"
"215","重庆市","77.4","2017"
"216","重庆市","77.483","2016"
"217","重庆市","79","2015"
"218","重庆市","80.468701","2014"
"219","重庆市","83.902","2013"
"220","重庆市","82.936","2012"
"221","四川省","244.3","2021"
"222","四川省","236.9","2020"
"223","四川省","252.4","2019"
"224","四川省","259.1","2018"
"225","四川省","268.4","2017"
"226","四川省","267.256295375236","2016"
"227","四川省","265.5","2015"
"228","四川省","236.87","2014"
